HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required.
CHEM 350       : (CHEM 203 or CHEM 203Z or CHEM_OX 203) and (CHEM 203L or CHEM 203ZL or CHEM_OX 203L) and (CHEM 205 or CHEM_OX 205) and (CHEM 205L or CHEM_OX 205L) or equivalent transfer credit as prerequisite.
CS 334         : (CS224 or CS_OX 224) and (CS 253 or CS_OX 253) and (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) or equivalent transfer credit as prerequisite.
BIOL 475       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Also offered as IBS 547/548. Location: Calhoun Auditorium (Emory Clinic). This course is for juniors, seniors, and graduate students who may be interested in a basic understanding of the eye. This course will review basic principles and state-of-the-art information on ocular anatomy, embryology, biochemistry, physiology, genetics, immunology, microbiology, pharmacology, and pathology. Prerequisites: Biology 142 and Biology 142L. This course ORIGINATES in the Department of OPHTHALMOLOGY (taught by Dr. Pardue) and may be taken as elective credit for the biology major.
ECON 470       : ECON 320 and (ECON 371 or ECON 372 or ECON 372W or HLTH 370) or equivalent transfer credit as prerequisite. (Same as HLTH 470 1)
CS 350         : CS 253 and CS 255 or equivalent transfer credit as prerequisites.
BIOL 485       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. (FULL TITLE: Models for Generating Hypotheses in Population and Evolutionary Biology.) This 2-credit hour course will introduce Juniors, Seniors, and interested graduate students to mathematical and computer simulation modeling in biology. The focus will be on the role of models used in developing hypotheses and of designing the tests of these hypotheses with experiments. Empasis would be on using models in population biology, ecology, and evolutionary biology, with particular consideration of bacteria, bacteriophage, and antibiotic treatment, as well as the practical (medical and epidemiological) application of the concepts of population and evolutionary biology. Models about the age and distribution of cancer will also be looked at. Students in this course will learn how to prepare a manuscript and will submit the manuscript to a journal, as co-authors. The class will learn how to use the Berkely Madonna software for the numerical solution to differential equations and Monte Carlo simulations. Prerequisites: Biology 142 + 142L and at least one course in Calculus, preferably Calculus for Biologists.
ECON 480       : ECON 320 & CS 334 or equivalent transfer credit as prerequisites.
PHYS 445W      : PHYS 253 or PHYS_OX 253 or equivalent transfer credit as prerequisite.
CS 370         : CS 253 or equivalent transfer credit as prerequisite.
BIOL 495A      : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. First semester of the Biology Honors Program for Senior Biology majors in their last two semesters at Emory. Eligible students will be contacted in the SUMMER (or FALL) and invited to participate in the program. A 3.7 minimum GPA is required for both the Biology major and cumulative. Students accepted into the Honors Program will need to contact Tonya Woolcock at tdavis6@emory.edu to request a permission number for Biology 495A and add the course to their schedule before add/drop/swap ends for the semester. See the Biology Department website for additional information. Prerequisites: Biology 142, 142L, and a declared Biology major. Students graduating in a fall semester should take Biology 495A in the spring semester prior to their graduation semester and Biology 495BW in the fall of their graduating semester. Permission of the department required.
PHYS 461       : PHYS 220 and (PHYS 253 or PHYS_OX 253) and (MATH 212 or MATH_OX 212) or equivalent transfer credit as prerequisite.
BIOL 495BW     : This course requires BIOL 142 and BIOL 142L or BIOL_OX142 or BIOL 152 AND BIOL 495A or equivalent transfer credit as a prerequisite. This is the second semester of the Biology Honors Program, for Senior Biology majors in their last semester at Emory. Permission of instructor is required. Contact Tonya Woolcock at tdavis6@emory.edu to request a permission number for Biology 495BW and add the course to your schedule before the add/drop/swap period ends for the semester. This course will fulfill elective and upper-level lab requirements for the Biology major and a writing requirement for the GERs. See the COURSE ATLAS for additional information. Permission of the department required.
CS 385         : Prerequisite: CS 253 Department permission required, please email bnflood@emory.edu. This class focuses on identifying and building interactive systems. This will include how to specify, design, and build user interfaces and systems that enable interactivity. Work will be justified in terms of how technical design choices enable or inhibit the user experience. The course will cover a variety of tools and techniques for creating interactive prototypes and user interfaces, examine their advantages and trade-offs for investigating and enabling user experience, and the related theory and principles for their implementation. Permission of the department required.
PHYS 463       : PHYS 220 or MATH 221 or MATH_OX 221 or equivalent transfer credit as prerequisite. (Same as CS: 463 1)
CS 424         : CS 326 or equivalent transfer credit as prerequisite.
KRN 202        : Contact bumyongchoi@emory.edu for permission to enroll. Permission of the department required.
CS 441         : CS 253 or CS_OX 253 or equivalent transfer credit as prerequisite.
CS 443         : CS 325 or equivalent transfer credit as prerequisite.
KRN 302        : For permission to enroll, contact bumyongchoi@emory.edu Permission of the department required.
CS 452         : CS 350 or equivalent transfer credit as prerequisite.
KRN 402        : This course requires KRN 401 or equivalent transfer credit as a prerequisite. Permission of the department required.
CS 463         : PHYS 220 or MATH 221 or MATH_OX 221 or equivalent transfer credit as prerequisite. (Same as PHYS 463 1)
KRN 404        : KRN 402 as prerequisite Permission of the department required.
CS 470         : CS 224 and CS 253 or equivalent transfer credit as prerequisites.
CS 485         : Prerequisite: CS 334/CS 534 Department permission required, please email bnflood@emory.edu. This course covers recent advances in the area of deep learning on graphs. Topics include: Network Embedding, Graph Neural Networks and their properties, Applications of GNNs, and others. Permission of the department required.
MKT 345        : MKT 340 or SPECSTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
ACT 300        : ACT 200 or ACT_OX 200 or ACT 210 or ACT_OX 210 or SPECSTUBUS students or equivalent transfer credit as prerequisites.
ACT 301        : ACT 200 or ACT_OX 200 or ACT 210 or ACT_OX 210 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
BIOL 497R      : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. THIS COURSE DOES NOT COUNT FOR THE BIOLOGY MAJOR. Directed study with a Biology faculty member. Permission of instructor is required. Once permission of instructor is obtained, contact Tonya Woolcock at tdavis6@emory.edu to request a permission number and add the course to your schedule before add/drop/swap ends for the semester. Permission of the department required.
ACT 316        : ACT 200 or ACT_OX 200 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
FILM 107       : FILM 101 or FILM_OX 101 or equivalent transfer credit as prerequisite. Class meets at Emory Point, Room 100 This class will be held in the Department of Film and Media's brand new production facility located at Emory Point. Address: 1568 Avenue Pl Ste 140 Atlanta, GA 30329 This class has an Equipment Fee of $125 which grants students access to equipment provided by the department.
MKT 452        : MKT 340 or equivalent transfer credit as prerequisite. SPECSTUBUS students are allowed to enroll. This section is reserved for students in the BBA program.
BIOL 499R      : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. A two-semester research experience for Biology majors. Students will need to find a research mentor to oversee their research project. Once a mentor is confirmed, students will need to apply for the course. (See the Biology Department website for additional information.) Approved students will receive a permission number from Dr. Gerardo and will need to add the course to their schedule before add/drop/swap ends for the semester. Prerequisites: Biology 142 + 142L and a declared Biology major. Successful completion of two semesters will provide students with four (4) hours of elective credit and will fulfill the upper-level lab requirement for the Biology major. Permission of the department required.
BIOL 212       : (PHYS 151 or PHYS_OX 151) or [(PHYS 141 or PHYS_OX 141) and (MATH 112 or MATH 112Z or MATH_OX 112 or MATH_OX 112Z0] or [(PHYS 141 or PHYS_OX 141) and MATH 116)] or equivalent transfer credit as prerequisite. (Same as PHYS 212 LAB1)
BIOL 236L      : (BIOL 142 or BIOL_OX 142) and BIOL 142L or equivalent transfer credit as prerequisites. Permission is required for this course. Students requiring an Anatomy & Physiology course for a post-bac school should contact the PHA (Pre-Health Advising) office for permission to take this course. Students approved by the PHA will be added to the course by the Biology Department during add/drop/swap, space permitting. THIS COURSE DOES NOT COUNT FOR THE BIOLOGY MAJOR IN ANY WAY. This is the first semester of a two-semester course and includes a lecture and a laboratory component. This course examines the interrelationship and integration of the structure and function of the human body on the molecular, cellular, tissue, and organ system levels. Topics include body organization, homeostasis, cytology, histology, and the integumentary, skeletal, muscular, and nervous systems. Textbook will be Anatomy & Physiology: The Unity of Form and Function, by Kenneth S. Saladin (McGraw-Hill). Permission of the department required.
BIOL 247LW     : This course requires BIOL 142, BIOL 142L or BIOL_OX142 AND BIOL/ENVS 247 or equivalent transfer credit as a prerequisite. (Same as ENVS 247LW 1) (This is the optional laboratory portion of the Ecology class. Field studies will be conducted in various natural areas in Georgia, including a weekend trip to the mountains. Pre- or corequisite: Biology 247/ENVS 247. This course fulfills elective and upper-level laboratory credit for the biology major and the Writing requirement for the GERs.)
BIOL 300       : This class is for SOPHOMORES, JUNIORS, and SENIORS and has a LECTURE and a DISCUSSION SECTION. This course will prepare you to critically evaluate what you read in the professional and online Medical, Biomedical, Biological, and Ecological literature and will cover a variety of topics. Prerequisites: Biology 142 + 142L. This class may be taken as elective credit for the Biology major.
BIOL 320       : (BIOL 142 and BIOL 142L) or BIOL_OX 142WE or equivalent transfer credit as a prerequisite. (Same as PSYC 320 1) This course provides an overview of major research areas in the field of animal behavior. The behavior of animals will be discussed from an evolutionary and comparative perspective. Specific topics include genetic influences on behavior, neuroethology, evolution of sexual reproduction, biological rhythms, communication, courtship and mating strategies, and parental behavior.
BIOL 325       : This course requires PSYC 110 or BIOL 142 or BIOL_OX142 or equivalent transfer credit as a prerequisite. (Same as PSYC 325 1) (Following a general introduction to primatology, this course covers recent progress in the growing field of primate social behavior. Topics range from aggression and dominance to affiliation, sex and peaceful coexistence. The evolution of the large brain and remarkable intelligence of primates has been explained as related to the complexity of their societies: survival in such societies requires sophisticated social skills and a thorough understanding of the relationship network. Course segments focus on the motivational and cognitive processes underlying coalition formation, reciprocal exchange of benefits, reconciliation following conflict, and the origin of moral systems. Parallels with human behavior will be discussed.)
BIOL 329       : (BIOL 142 and BIOL 142L) or BIOL_OX 142WE or equivalent transfer credit as a prerequisite. This course requires permission of the instructor AND a Laboratory/Field Course fee of $1275.00 (paid to the Biology Department). This lecture and laboratory course emphasizes basic principles of coastal biology, including the distribution and types of coastlines, coastal animals and plants, important ecological and physical processes, and the services, management, and threats for coastal areas (particularly the Georgia coast). The course involves an eight-day laboratory/field trip to St. Simons Island, Georgia and other Georgia Sea Islands during Spring Break, which will require a lab/field course fee. Prerequisites: Biology 142 + 142L AND permission of instructor. Contact Dr. Dave Civitello at david.james.civitello@emory.edu for permission. A $600 NON-REFUNDABLE DEPOSIT (personal check or money order made out to the Emory University Department of Biology) will be required during registration, prior to receiving a permission number to enroll in the course. The remaining balance will be due at the beginning of the Spring semester, before the end of add/drop/swap. Non-payment will result in being dropped from the course. Financial Aid scholarships from the Biology Department are available to eligible students who submit an application for the aid. Contact Barbara Shannon at barbara.shannon@emory.edu for payment information. Permission of the department required.
BIOL 342       : (BIOL 142 and BIOL 142L) or BIOL_OX 142, or equivalent transfer credit as prerequisite. Microbes shape the world we live in! Come research fungal microbes and their interactions with the environment. In this course, students will learn techniques necessary for culturing microbes and experimental design. Students will propose a testable question and carry out the experiment. In addition, students will learn aspects of research, such as data analysis and presenting results to other scientists and to the public. We will also discuss how to find further research opportunities that match career goals). Students must also register for the LAB component. Prerequisites: Biology 142 + 142L.
BIOL 345       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisite. (Same as ENVS 345 1)
BIOL 347       : [(BIOL 142 and BIOL 142L) or BIOL_OX 142 or BIOL_OX 142X] and (QTM 100 or QTM_OX 100) or equivalent transfer credit as prerequisite.
BIOL 348       : (BIOL 142 or BIOL_OX 142) and (CHEM 141 or CHEM_OX 141 or CHEM 150 or CHEM_OX 150) or equivalent transfer credit as a prerequisite. A survey of current topics in neural development and neural basis of behavior. Emphasis is on research work that uses a combination of physiological, genetic, cellular, and molecular techniques to understand neural systems and their evolution and development. This course will fulfill elective credit for the Biology major. Prerequisites: Biology 142, 142L and Chemistry 150.
BIOL 370       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Varies by section
BIOL 373W      : ENVS 232 or ENVS_OX 232 or ENVS 236 or ENVS 240 or ENVS 247 or BIOL 247 or equivalent transfer credit as prerequisite. (Same as ENVS 373W 1)
BIOL 415       : [(BIOL 142 and BIOL 142L) or BIOL_OX 142] and [BIOL 223 or BIOL 250 or BIOL 264 or BIOL_OX 264] or equivalent transfer credit as prerequisites. In this course, you will learn intriguing complex genetic, epigenetic, and immunological events underlying cancer and current strategies to fight cancer. Prerequisites: Biology 142 + 142L.
BIOL 460       : (BIOL 142 and BIOL 142L) or BIOL_OX 142WE or equivalent transfer credit as a prerequisite. (Same as NBB 460 1) (This course explores our current understanding of the mechanisms that regulate development of the nervous system. Topics covered include neurogenesis, axon guidance, programmed cell death, and synapse formation.)
BIOL_OX 141L   : BIOL_OX 141 or BIOL_OX 141 co-requisite, or AP 4/5- IB 5/ 6/ 7 in BIOL, or transfer credit. Students with AP/IB credits for lecture have to enroll in the BIOL_OX 141L. Students who don't have credit for lecture, must enroll in both lecture and lab. Must also enroll in BIOL_OX 141 lecture
BIOL_OX 142WE  : (BIOL 141 and BIOL 141L) or (BIOL_OX 141 and BIOL_OX 141L) or equivalent transfer credit as prerequisite. Students with AP/IB credit for BIOL 141/BIOL_OX 141 will have to take BIOL 141L or BIOL_OX 141L. Must also enroll in W 10:00AM lab section
BIOL_OX 212    : Cross-listed with PHYS_OX 212. Prerequisites: PHYS_OX 141 or 151 and MATH_OX 112 or equivalent transfer credit. Must enroll in BIOL_OX 212 lab
BIOL_OX 340E   : BIOL_OX 141 as prerequisite and (BIOL_OX 142 or BIOL 242) as prerequisite/corequisite or equivalent transfer credit. Permission of the department required.
BIOL_OX 386R   : (BIOL 141 or BIOL_OX 141) and (BIOL 142 or BIOL_OX 142) or equivalent transfer credit as prerequisite. This class counts as an upper-level biology laboratory and an elective credit towards the Biology major when taken for a letter grade. Topic: Molecular Ecology with Lab In this course with lab, you will learn genomic techniques with practical applications in Molecular Ecology related to conservation and population genetics, community ecology and trophic webs, reproductive strategies and kin selection, and microbial diversity. You will gain hands-on experience with laboratory and data analysis approaches used by molecular ecologists while approaching diverse scientific questions. Throughout the semester, you will collaboratively design and carry out a team-independent research project on one of these topics. Out of class time will be required to complete experiments. Must enroll in 386 at 2:30PM
BIOL_OX 397R   : (Permission of Instructor Required Prior to Enrollment) Permission of the department required.
BIOL_OX 399RE  : ORS (Permission of Instructor Required Prior to Enrollment) Permission of the department required.
BUS 300        : This section is reserved for students in the BBA program. Varies by section
BUS 399R       : This section is reserved for students in the BBA program. Pre-requisite: MKT 340 Building Solutions with AI is a hands-on class in which students will work in teams to develop an AI-powered product/service. No coding experience needed! Student teams will be constructed to ensure that all teams have complementary skillsets. Over the course of the semester students will ideate and conduct market research, build a prototype and refine it through user testing. The structure of the course will combine: - Discussion of AI applications for consumers and businesses - Data collection and analysis for the purposes of deriving user insights - Product development to address a business or societal problem, or unmet consumer need Each week, student teams will share their progress and be introduced to appropriate business concepts. The final deliverable will be a software solution that will be evaluated by the faculty and outside judges. LEARNING OBJECTIVES - Identify opportunities in the marketplace to develop AI solutions - Identify opportunities to improve business operations through the deployment of AI - Understand the role of market research in product development - Collect user feedback to improve the solution - Work collaboratively with teammates who have different skillsets and roles throughout the product development process - Build a working prototype using ¿vibe coding¿ platforms
CBSC 370A      : (Same as POLS 370A 1, SOC 370A 1, ENVS 370A 1) This course examines how communities of all sizes and types (e.g., neighborhoods, cities, metropolitan regions) solve important public problems. Our focus will be on understanding how, why, and to what effects, collaborative, community-based, cross-sector (public-private-nonprofit) initiatives are crafted. The course addresses several tensions and issues that affect the practice of community building, and the processes through which community builders attempt to overcome these obstacles to foster social change comprehensively (e.g., reduce poverty and promote economic mobility) as well as within specific policy domains such as education, economic development, workforce development, health, and the environment, among others. We will explore the course material through lectures, individual and group exercises, and the examination of a variety of case studies of comprehensive community initiatives launched over the past 30 years. This course is a requirement for participation in Emory's Community Building and Social Change Fellows Program, though students do not need to commit to participating in the CBSC program to enroll. For more information on the CBSC program see https://www.emorycbsc.com/ or contact the CBSC program director, Kate Grace, at kdgrace@emory.edu. Permission of the department required.
CHEM 202Z      : (CHEM 150 and CHEM 150L) or AP score of 4 or higher or IB score of 5 or higher required. This course is reserved for freshmen entering with AP, IB, or Chem 150 transfer credit.
CHEM 202ZL     : CHEM 202Z as co-requisite. Students must enroll in CHEM 202Z first. This course is only for freshmen entering with AP, IB, or other Chem 150 transfer credit and who are taking CHEM 202Z.
CHEM 203L      : CHEM 202L or CHEM_OX 202L or CHEM 202ZL as prerequisite and CHEM 203 or CHEM_OX 203 as co-requisite, or equivalent transfer credit.
CHEM 328       : (CHEM 150 or CHEM_OX 150) and (PHYS 141 or PHYS_OX 141 or PHYS 151 or PHYS_OX 151) and (PHYS 142 or PHYS_OX 142 or PHYS 152 or PHYS_OX 152) or equivalent transfer credit as prerequisites. (Same as ENVS 328 1)
CHEM 333       : (CHEM 204 or CHEM_OX 204) and (CHEM 204L or CHEM_OX 204L) and (CHEM 205 or CHEM_OX 205) and (CHEM 205L or CHEM_OX 205L) or equivalent transfer credit as prerequisite.
CHEM 335LW     : (CHEM 205 or CHEM_OX 205) and (CHEM 205L or CHEM_OX 205L) or equivalent transfer credit as prerequisite.
CHEM 371LW     : CHEM 300L or equivalent transfer credit as prerequisite. Special Topic: Chemistry of Color (LW)
CHEM_OX 150    : CHEM_OX 150L co-requisite. Students must enroll in CHEM_OX 150 and CHEM_OX 150L together. If not enrolled in both lecture and lab, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 150L. Completion of OCCP by Jan. 27 is 3% of grade.
CHEM_OX 150L   : Must enroll in CHEM_OX 150 lecture
CHEM_OX 151    : Pre-Requisite: AP Chemistry score of 4 or 5, or IB Chemistry score of 5, 6, or 7 Co-requisite: CHEM_OX 202 (or 202Q) This course is open first to students who are also enrolled in CHEM_OX 202 for fall 2025. It is not intended for students who have previously completed CHEM_OX 202. If spots remain open, those planning to take CHEM_OX 202 the following semester may enroll.
CHEM_OX 202    : CHEM_OX 150 and CHEM_OX 150L prerequisites & CHEM_OX 202L co-requisite. Students must enroll in CHEM_OX 202 and CHEM_OX 202L together. If not enrolled in both lecture and lab, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 202L
CHEM_OX 202L   : CHEM_OX 150 & CHEM_OX 150L prerequisites or equivalent transfer credit. Students must enroll in CHEM_OX 202 and CHEM_OX 202L together. If not enrolled in both lecture and lab, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 202 lecture
CHEM_OX 203    : CHEM_OX 202 and CHEM_OX 202L prerequisites & CHEM_OX 203L co-requisite. Students must enroll in CHEM_OX 203 and CHEM_OX 203L together. If not enrolled in both lecture and lab, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 203L
CHEM_OX 203L   : CHEM_OX 202 & CHEM_OX 202L prerequisites, or equivalent transfer credit. Students must enroll in CHEM_OX 203 and CHEM_OX 203L together. If not enrolled in both lecture and lab, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 203 lecture
CHEM_OX 204    : CHEM_OX 203 & CHEM_OX 203L prerequisites & CHEM 204L co-requisite. Students must enroll in CHEM_OX 204 and CHEM_OX 204L together. If not enrolled in both lecture and lab, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 204L
CHEM_OX 204L   : CHEM_OX 203 and CHEM_OX 203L as prerequisites or equivalent transfer credit. Students must enroll in CHEM_OX 204 and CHEM_OX 204L together. If not enrolled in both lecture and lab, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 204L
CHEM_OX 205    : [(CHEM_OX 203 & CHEM_OX 203L) or (CHEM 203 & CHEM 203L)] and (MATH_OX 111 or MATH 111) prereq. & CHEM_OX 205L co-req. Enroll in CHEM_OX 205 & CHEM_OX 205L together. If not enrolled in both, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 205L.
CHEM_OX 205L   : [(CHEM_OX 203 & CHEM_OX 203L) or (CHEM 203 & CHEM 203L)] and (MATH_OX 111 or MATH 111) prerequisites. Students must enroll in CHEM_OX 205 and CHEM_OX 205L together. If not enrolled in lecture and lab, students will be dropped at the end of add/drop/swap. Must enroll in CHEM_OX 205 lecture
CHEM_OX 261    : CHEM_OX 202 or CHEM 202 or equivalent transfer credit as prerequisite or co-requisite.
CHN 303W       : Please contact Dr. Hong Li at hli01@emory.edu for permission to enroll. Permission of the department required.
CHN_OX 203     : CHN 103 as prerequisite, or placement recommendation, or equivalent transfer credit.
HIST 343       : This course explores the history of snow sports, especially skiing & snowboarding. This class is not only for history majors or athletes, but also for business students, & anyone interested in environmental history, sports history, economic history, or the histories of gender & race. We explore the creation of skiing, the expansion of leisure sports, the development of ski schools & ski patrols, environmental issues, avalanche control, the history of the land & indigenous peoples, snow fashions, & ski industry. Students who have never taken a history course & first-year students are welcome. Each student will do a short final research project. Assignments: Readings, videos, pop quizzes, & a short research project. Readings: All online. No book purchases required. The course fulfills the requirements for the Sustainability Minor. This course fulfills the following History Major Concentrations: General Studies in History (Modern), United States History (Modern); European History (Modern); Law, Economics, & Human Rights (Modern).
HIST 387RW     : (Same ENGCW 385RW 1, AAS 387RW 1, AMST 387RW 1) (Permission Required Prior to Enrollment) Application required. If accepted, you must attend the first class session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. Permission of the department required.
HIST 448W      : Any JS or MESAS course or equivalent transfer credit as prerequisite. (Same as JS 448W 1, MESAS 448W 1, and POLS 448W 1) (Ever since the emergence of the Zionist movement in the late nineteenth century, the political future of the land known as both Israel and Palestine has been the subject of fierce international debate. This seminar will examine how, exactly, this land has been discussed in international forums and in various countries, as well as how leaders of both Israelis and Palestinians have worked to chart a foreign policy for their respective peoples. Students will be given an overview of Israeli foreign policy and Palestinian attempts at global outreach since 1948 before the course moves on to explore the politics of the Israeli-Palestinian conflict in various regions of the world. Course requirements include regular preparation and participation, facilitating/co-leading classroom discussions, ten brief response essays, and a final original research paper. Most research papers will focus on Palestinian or Israeli foreign relations with another country, or the role of the Israeli-Palestinian conflict in another country or region's politics, either historically or today. While there is no fixed prerequisite for the course, students should either have some background in the politics and history of Israel or the Middle East or have previous studied another country or region that they plan to examine in their research) (This is not an introductory course on the conflict. Those interested in an introductory course should enroll in the larger "Israeli-Palestinian Conflict" course to be taught in Spring 2026)
HIST_OX 101WE  : Students are required to participate in 3 field trips to locations in Newton County that provide "essential services". Each field trip will be approximately 2-3 hours and will take place outside of class time. Transportation will be provided.
HLTH 220       : BIOL 141 or BIOL_OX 141 or CHEM 141 or CHEM_OX 141 or CHEM 150 or CHEM_OX 150 or equivalent transfer credit as prerequisite. This course will introduce students to the field of nutrition science, with emphases on recommended intakes and food sources of essential nutrients and other dietary compounds, and the functions and interactions of dietary components and how they affect human physiology. We will also discuss dietary patterns that promote health, including the nature of evidence that underlies dietary recommendations for the public. This will be explored through lectures, discussion, and activities.
HLTH 300R      : HLTH 200 or equivalent transfer credit as prerequisite. Permission required prior to enrollment. Meets synchronously on Mondays; Students will also be enrolled in an accompanying discussion section. This course provides students the opportunity to become involved in a personalized approach to health and well-being by sharing with peers strategic approaches for the implementation of a healthy lifestyle. Peer Health Partners will enroll in one section of HLTH 300R and will facilitate one section of HLTH 100 during fall semester. (Prerequisite: HLTH 200) Permission of the department required.
HLTH 317       : BIOL 142 or BIOL_OX 142 or equivalent transfer credit as prerequisite. Microorganisms living in and on our bodies outnumber our human cells. Sometimes considered "the forgotten organ" , this collection of bacteria, viruses, and single-cell eukaryotes is crucial for our health. We will examine the vital functions provided by the microbiome, as well as the conditions under which the microbiome is associated with disease. Areas of focus will include obesity, insulin resistance, inflammatory bowel disease, asthma, antibiotic resistance, and more. (Prerequisite: BIOL 142)
HLTH 320       : HLTH 220 or equivalent transfer credit as a prerequisite This course will explore current evidence relating diet, nutrition, and the food environment to promoting health and preventing disease. The focus will be on digestive health, obesity type 2 diabetes, cardiovascular disease, bone health, and cancer. Students will learn about diet and related factors that increase or decrease risk of these conditions, evaluate evidence, and compare intervention strategies. (Prerequisite: HLTH 220)
HLTH 352       : HLTH 250 or HLTH_OX 250 or ANT 205 or ANTH_OX 205 or SOC 250 or equivalent transfer credit as prerequisite. We will apply community-based primary health care methods to advance more equitable solutions for a maternal-newborn global health challenges. Teams will measure the disparity and look "back" to identify causes before looking "forward" to propose more equitable solutions for future change. (Prerequisite: HLTH 250)
HLTH 353       : HLTH 250 or HLTH_OX 250 or ANT 205 or ANTH_OX 205 or SOC 250 or equivalent transfer credit as prerequisite. This course is a seminar style course that focuses on the interplay of major global health actors/players, the politics of global health, and the power dynamics that infuse the interplay. The course will concentrate on key global health players over the last 25 years including public, multilateral, private and philanthropic players. The landscape of global health was framed by the post-World War 2 set of organizations and institutions. Over the last 25 years and particularly since the millennium the landscape has fundamentally changed. This course will explore the dynamics of this change, the influence of respective global health players in crafting the global health agenda and the relative power of each player over time. A key focus of this course will interrogate the question of whether and how the priorities and politics of the big global health players influence decisions taken at community, sub-national and national levels in low and middle income countries. The course will require a significant amount of reading, critique, discussion and analysis. (HLTH 250 is a Prerequisite for this course)
HLTH 374       : Drug discovery will be explored across bench to bedside discovery processes. We will learn about small molecule synthesis, repurposing of existing agents, preclinical validation, and the pathway to human studies and eventual FDA approval.
HLTH 381W      : Writing clearly about health and medicine is an essential skill for aspiring scientists, policymakers, science communicators, and physicians and health professionals, as well as for future journalists planning to work in any medium. Communicating health and science requires learning to identify new developments, conduct an interview, craft an argument, and organize a narrative, while translating professional jargon into everyday language. This class, taught by a professional journalist, trains you in journalism's norms and standards: speed, thoroughness, accuracy, novelty and evidentiary rigor. Students read new scientific papers and compare them to news coverage, while interrogating the storytelling strategies of different journalistic genres. Guest speakers include text journalists working in short and long forms, audio and video creators, data specialists and interview strategists. Assignments include writing short and long pieces in a range of genres; completed work may be published in the CSHH online journal, Exploring Health. (Application and permission of instructor; no prerequisites.) Permission of the department required.
HLTH 408       : HLTH 207 or equivalent transfer credits as prerequisites. Health problems have many complex causes. After mapping the causes of a problem from a specific context (with research, theory & epidemiology), learners will create a proposal with real-world solutions. The proposal will be converted into a persuasive presentation to request funding for the work. (Prerequisites: HLTH 207)
HLTH 411       : ANT 231 or HLTH 210 and BIOL 141 and BIOL 142 or equivalent transfer credit as prerequisite. This seminar course will examine the evidence documenting that the immune system, inflammation, regenerative potential and oxygen status are fundamental processes underlying human health. While modern medicine focuses on organ-specific diseases, a changing paradigm led by Emory's Predictive Health scholars identifies that many diseases are outcomes of common causes and identifies specific interventions that can lead to pre-emption of chronic diseases. (Prerequisites: HLTH 210 and BIOL 142)
HLTH 469       : (Same as SPAN 409 1, LACS 409 1, LING 409 1) This course examines how particular narratives about the body, health, and wellbeing are constructed and circulated in Latin America. Drawing on a number of classic and contemporary texts, we consider both the specificity of local medical narratives and the processes, which increasingly link these systems of knowledge and practice. The course queries how presupposed notions of language, communication, narrative, media, and the like provide implicit foundations for producing and naturalizing notions of health, disease, medicine, and the body and their associated practices and materialities. Topics covered include narrative production; local theories of disease causation and healing efficacy; narratives of embodiment; medicalization; structural violence; the meanings and effects of new medical technologies; and global health.) Texts: Provided by instructor. Prerequisites: At least one foundational course (SPAN 300- 318) or permission from instructor
