HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required
ENVS 131       : ENVS 120 or ENVS 130 or ENVS 140 as prerequisite or co-requisite, or equivalent transfer credit. ALL LAB SECTIONS ARE IN-PERSON. ENVS 131 is required for ALL ENVS majors. This course does NOT fulfill any General Education Requirement
GER 102        : Specifically, students will examine the following three roles in 102, devoting 4-5 weeks to each: The young adult as (1) a consumer; (2) a traveler/tourist; and (3) a citizen. Through this process of examining identity formation, students in this course, together with its prerequisite, German 101, will develop a solid foundation in speaking, writing, reading, and understanding German and life in German-speaking countrie
NRSG 332       : NRSG 331 or equivalent transfer credit as prerequisite. Must seek permission from faculty. Student cannot self-register. Permission of the department required
IDS 390        : This course is designed to help IDS and American studies majors in the Institute for the Liberal Arts (ILA) to develop their senior thesis. Students will design a well-organized plan of research, culminating in the submission of their thesis prospectus and the completion of a presentation at the ILA Spring Research Symposium. They will also work on developing their research network, by meeting to discuss their ideas with faculty in the ILA and across campus. Permission of the department required
CHEM 205L      : CHEM 203L or CHEM_OX 203L or CHEM 203ZL as prerequisites and CHEM 205 or CHEM_OX 205 as co-requisite or equivalent transfer credit
LING 303       : (Same as SPAN 303 1) In this course (taught in Spanish), we will explore how diverse pronunciations are produced and organized by Spanish-speakers (including native/heritage and second-language speakers). TEXT: Tuten, D. 2022. PARTICULARS: This course is designed for a wide variety of students, including those for whom Spanish is a primary/native or heritage language as well as for those who are learning Spanish as a second language. Span/Ling 303 is a core course for the Spanish and Linguistics Joint Major and a Foundational Course for the Spanish Major and Minor. It counts as an elective or HAL course for other Linguistics majors and minors. EVALUATION is based on attendance/participation, homework assignments, exams, and performance projects. PREREQUISITE: SPAN 212 or an Official Spanish Placement into our Foundational Course level (Span 300-318)
PSYC 499R      : Permission Required Prior to Enrollment) Psychology majors only. Students are required to complete a PSYC 498R/499R Contract with a faculty member or principal investigator detailing their research. Enrollment in PSYC 499R are done administratively; Ms. Permission of the department required
GER 192R       : Prerequisite 192: This course will be conducted in German and is open to students who have completed at least one semester of college-level German or the equivalent
CHEM 300L      : (CHEM 204L or CHEM_OX 204L) and (CHEM 205L or CHEM_OX 205L) or equivalent transfer credit as prerequisite or co-requisite
CHEM 322       : (CHEM 204 or CHEM_X 204) and (CHEM 204L or CHEM_OX 204L) or equivalent transfer credit
LING 329       : CS 171 or CS 171Z or CS_OX 171 or equivalent transfer credit as a prerequisite. (Same as CS 329 1 and DATASCI 329 1)
CHEM 327       : (CHEM 203 or CHEM 203Z or CHEM_OX 203) and (CHEM 203L or CHEM 203ZL or CHEM_OX 203L) or equivalent transfer credit
CHEM 334       : (CHEM 205 or CHEM_OX 205) and (PHYS 142 or PHYS_OX 142 or PHYS 152 or PHYS_OX 152) and (MATH 112 or MATH_OX 112 or MATH 210 or MATH_OX 210 or CHEM 270) or equivalent transfer credit
LING 363W      : (Same as ENG 300W 1) Pre-1700 One semester of intensive language study will result in a proficient reading knowledge of the West Saxon dialect (standard Old English) such that we can explore the culture of the Anglo-Saxons and better understand the language we speak today
ENVS 240L      : ENVS 240 as prerequisite or co-requisite, or equivalent transfer credit
CHEM 340       : (CHEM 204 or CHEM_OX 204) and (CHEM 204L or CHEM_OX 204L) and (BIOL 141 or BIOL_OX 141) or equivalent transfer credit as prerequisites. Students who took BIOL 301, or have transfer credit equivalent to BIOL 301, cannot take this course
NRSG 402       : NRSG 419 or equivalent transfer credit
ISOM 351       : BUS 350 or BUS_OX 350 or ISOM 350 or MATH_OX 117/117Q or QTM 100 or QTM_OX 100 or QTM 110 or QTM_OX 110 or ECON 220 or ECON_OX 220 or MATH 207 or MATH_OX 207/207Q or QTM 999XFR or QTM_OX ELEC or STAT COMPETENCY EXAM or SPECSTUBUS or transfer credit. This section is reserved for students in the BBA program
CHEM 343       : (CHEM 204 or CHEM_OX 204) and (CHEM 204L or CHEM_OX 204L) and (CHEM 340 or BIOL 301) or equivalent transfer credit
ENVS 242       : ENVS 241 as a prerequisite OR permission of instructor. Course enrollment permission required. You must be able to attend a weekend long field trip to the GA coast and a 10-day long trip over Spring Break to The Bahamas. Permission of the department required
GER 392R       : Prerequisite 392: This course will be conducted in German and is open to students who have completed at least three semesters of college-level German or the equivalent
LING 401W      : The course is only available to graduating seniors who have declared the following majors or minors: Linguistics, Psych/Ling, Span/Ling, or QSS major w/ concentration in Linguistics. Permission number required to enroll, contact: dbolde2@emory. Permission of the department required
ISOM 352       : BUS 350 as co-requisite or ISOM 350 or MATH_OX 117/117Q or QTM XFR or QTM_OX ELEC as prerequisite or SPECSTUBUS students, or equivalent transfer credit. This section is reserved for students in the BBA program
ENVS 247       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. (Same as BIOL 247 1) (This course provides a broad overview of ecology, ranging from evolutionary ecology to ecosystems ecology. A separate, optional, 3 credit hour laboratory (Biology 247LW/ENVS 247LW) is associated with this course (in fall semester)
CHEM 350       : (CHEM 203 or CHEM 203Z or CHEM_OX 203) and (CHEM 203L or CHEM 203ZL or CHEM_OX 203L) and (CHEM 205 or CHEM_OX 205) and (CHEM 205L or CHEM_OX 205L) or equivalent transfer credit
CS 334         : (CS224 or CS_OX 224) and (CS 253 or CS_OX 253) and (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) or equivalent transfer credit
BIOL 475       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Also offered as IBS 547/548. Prerequisites: Biology 142 and Biology 142L. This course ORIGINATES in the Department of OPHTHALMOLOGY (taught by Dr
ECON 470       : ECON 320 and (ECON 371 or ECON 372 or ECON 372W or HLTH 370) or equivalent transfer credit as prerequisite. (Same as HLTH 470 1)
CS 350         : CS 253 and CS 255 or equivalent transfer credit
BIOL 485       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. (FULL TITLE: Models for Generating Hypotheses in Population and Evolutionary Biology. Prerequisites: Biology 142 + 142L and at least one course in Calculus, preferably Calculus for Biologist
ECON 480       : ECON 320 & CS 334 or equivalent transfer credit
PHYS 445W      : PHYS 253 or PHYS_OX 253 or equivalent transfer credit
CS 370         : CS 253 or equivalent transfer credit
BIOL 495A      : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Eligible students will be contacted in the SUMMER (or FALL) and invited to participate in the program. 7 minimum GPA is required for both the Biology major and cumulative. edu to request a permission number for Biology 495A and add the course to their schedule before add/drop/swap ends for the semester. Prerequisites: Biology 142, 142L, and a declared Biology major. Students graduating in a fall semester should take Biology 495A in the spring semester prior to their graduation semester and Biology 495BW in the fall of their graduating semester. Permission of the department required
PHYS 461       : PHYS 220 and (PHYS 253 or PHYS_OX 253) and (MATH 212 or MATH_OX 212) or equivalent transfer credit
BIOL 495BW     : BIOL 142 and BIOL 142L or BIOL_OX142 or BIOL 152 AND BIOL 495A or equivalent transfer credit as a prerequisite. Permission of instructor is required. edu to request a permission number for Biology 495BW and add the course to your schedule before the add/drop/swap period ends for the semester. See the COURSE ATLAS for additional information. Permission of the department required
CS 385         : Prerequisite: CS 253 Department permission required, please email bnflood@emory. Permission of the department required
PHYS 463       : PHYS 220 or MATH 221 or MATH_OX 221 or equivalent transfer credit as prerequisite. (Same as CS: 463 1)
CS 424         : CS 326 or equivalent transfer credit
KRN 202        : edu for permission to enroll. Permission of the department required
CS 441         : CS 253 or CS_OX 253 or equivalent transfer credit
CS 443         : CS 325 or equivalent transfer credit
KRN 302        : For permission to enroll, contact bumyongchoi@emory. edu Permission of the department required
CS 452         : CS 350 or equivalent transfer credit
KRN 402        : KRN 401 or equivalent transfer credit as a prerequisite. Permission of the department required
CS 463         : PHYS 220 or MATH 221 or MATH_OX 221 or equivalent transfer credit as prerequisite. (Same as PHYS 463 1)
KRN 404        : KRN 402 as prerequisite Permission of the department required
CS 470         : CS 224 and CS 253 or equivalent transfer credit
CS 485         : Prerequisite: CS 334/CS 534 Department permission required, please email bnflood@emory. Permission of the department required
MKT 345        : MKT 340 or SPECSTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
ACT 300        : ACT 200 or ACT_OX 200 or ACT 210 or ACT_OX 210 or SPECSTUBUS students or equivalent transfer credit
ACT 301        : ACT 200 or ACT_OX 200 or ACT 210 or ACT_OX 210 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
BIOL 497R      : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. THIS COURSE DOES NOT COUNT FOR THE BIOLOGY MAJOR. Permission of instructor is required. Once permission of instructor is obtained, contact Tonya Woolcock at tdavis6@emory. edu to request a permission number and add the course to your schedule before add/drop/swap ends for the semester. Permission of the department required
ACT 316        : ACT 200 or ACT_OX 200 or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
FILM 107       : FILM 101 or FILM_OX 101 or equivalent transfer credit as prerequisite. Class meets at Emory Point, Room 100 This class will be held in the Department of Film and Media's brand new production facility located at Emory Point. Address: 1568 Avenue Pl Ste 140 Atlanta, GA 30329 This class has an Equipment Fee of $125 which grants students access to equipment provided by the department
MKT 452        : MKT 340 or equivalent transfer credit as prerequisite. SPECSTUBUS students are allowed to enroll. This section is reserved for students in the BBA program
BIOL 499R      : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. ) Approved students will receive a permission number from Dr. Prerequisites: Biology 142 + 142L and a declared Biology major. Permission of the department required
BIOL 212       : (PHYS 151 or PHYS_OX 151) or ((PHYS 141 or PHYS_OX 141) and (MATH 112 or MATH 112Z or MATH_OX 112 or MATH_OX 112Z0) or ((PHYS 141 or PHYS_OX 141) and MATH 116)) or equivalent transfer credit as prerequisite. (Same as PHYS 212 LAB1)
BIOL 236L      : (BIOL 142 or BIOL_OX 142) and BIOL 142L or equivalent transfer credit as prerequisites. Permission is required for this course. Students requiring an Anatomy & Physiology course for a post-bac school should contact the PHA (Pre-Health Advising) office for permission to take this course. Students approved by the PHA will be added to the course by the Biology Department during add/drop/swap, space permitting. THIS COURSE DOES NOT COUNT FOR THE BIOLOGY MAJOR IN ANY WAY. Permission of the department required
BIOL 247LW     : BIOL 142, BIOL 142L or BIOL_OX142 AND BIOL/ENVS 247 or equivalent transfer credit as a prerequisite. (Same as ENVS 247LW 1) (This is the optional laboratory portion of the Ecology class. Pre- or corequisite: Biology 247/ENVS 247
BIOL 300       : This class is for SOPHOMORES, JUNIORS, and SENIORS and has a LECTURE and a DISCUSSION SECTION. Prerequisites: Biology 142 + 142L
BIOL 320       : (BIOL 142 and BIOL 142L) or BIOL_OX 142WE or equivalent transfer credit as a prerequisite. (Same as PSYC 320 1) This course provides an overview of major research areas in the field of animal behavior
BIOL 325       : PSYC 110 or BIOL 142 or BIOL_OX142 or equivalent transfer credit as a prerequisite. (Same as PSYC 325 1) (Following a general introduction to primatology, this course covers recent progress in the growing field of primate social behavior
BIOL 329       : (BIOL 142 and BIOL 142L) or BIOL_OX 142WE or equivalent transfer credit as a prerequisite.  permission of the instructor AND a Laboratory/Field Course fee of $1275. Prerequisites: Biology 142 + 142L AND permission of instructor. edu for permission. A $600 NON-REFUNDABLE DEPOSIT (personal check or money order made out to the Emory University Department of Biology) will be required during registration, prior to receiving a permission number to enroll in the course. Permission of the department required
BIOL 342       : (BIOL 142 and BIOL 142L) or BIOL_OX 142, or equivalent transfer credit as prerequisite. Students must also register for the LAB component. Prerequisites: Biology 142 + 142L
BIOL 345       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisite. (Same as ENVS 345 1)
BIOL 347       : ((BIOL 142 and BIOL 142L) or BIOL_OX 142 or BIOL_OX 142X) and (QTM 100 or QTM_OX 100) or equivalent transfer credit
BIOL 348       : (BIOL 142 or BIOL_OX 142) and (CHEM 141 or CHEM_OX 141 or CHEM 150 or CHEM_OX 150) or equivalent transfer credit as a prerequisite. Prerequisites: Biology 142, 142L and Chemistry 150
BIOL 370       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit
BIOL 373W      : ENVS 232 or ENVS_OX 232 or ENVS 236 or ENVS 240 or ENVS 247 or BIOL 247 or equivalent transfer credit as prerequisite. (Same as ENVS 373W 1)
BIOL 415       : ((BIOL 142 and BIOL 142L) or BIOL_OX 142) and (BIOL 223 or BIOL 250 or BIOL 264 or BIOL_OX 264) or equivalent transfer credit as prerequisites. Prerequisites: Biology 142 + 142L
BIOL 460       : (BIOL 142 and BIOL 142L) or BIOL_OX 142WE or equivalent transfer credit as a prerequisite. (Same as NBB 460 1) (This course explores our current understanding of the mechanisms that regulate development of the nervous system
BIOL_OX 141L   : BIOL_OX 141 or BIOL_OX 141 co-requisite, or AP 4/5- IB 5/ 6/ 7 in BIOL, or transfer credit. Students with AP/IB credits for lecture have to enroll in the BIOL_OX 141L. Must also enroll in BIOL_OX 141 lecture
BIOL_OX 142WE  : (BIOL 141 and BIOL 141L) or (BIOL_OX 141 and BIOL_OX 141L) or equivalent transfer credit as prerequisite. Students with AP/IB credit for BIOL 141/BIOL_OX 141 will have to take BIOL 141L or BIOL_OX 141L
BIOL_OX 212    : Cross-listed with PHYS_OX 212. Prerequisites: PHYS_OX 141 or 151 and MATH_OX 112 or equivalent transfer credit. Must enroll in BIOL_OX 212 lab
BIOL_OX 340E   : BIOL_OX 141 as prerequisite and (BIOL_OX 142 or BIOL 242) as prerequisite/corequisite or equivalent transfer credit. Permission of the department required
BIOL_OX 386R   : (BIOL 141 or BIOL_OX 141) and (BIOL 142 or BIOL_OX 142) or equivalent transfer credit as prerequisite. Must enroll in 386 at 2:30PM
BIOL_OX 397R   : (Permission of Instructor Required Prior to Enrollment) Permission of the department required
BIOL_OX 399RE  : ORS (Permission of Instructor Required Prior to Enrollment) Permission of the department required
BUS 300        : This section is reserved for students in the BBA program
BUS 399R       : This section is reserved for students in the BBA program. Pre-requisite: MKT 340 Building Solutions with AI is a hands-on class in which students will work in teams to develop an AI-powered product/service. The structure of the course will combine: - Discussion of AI applications for consumers and businesses - Data collection and analysis for the purposes of deriving user insights - Product development to address a business or societal problem, or unmet consumer need Each week, student teams will share their progress and be introduced to appropriate business concepts. LEARNING OBJECTIVES - Identify opportunities in the marketplace to develop AI solutions - Identify opportunities to improve business operations through the deployment of AI - Understand the role of market research in product development - Collect user feedback to improve the solution - Work collaboratively with teammates who have different skillsets and roles throughout the product development process - Build a working prototype using ¿vibe coding¿ platform
CBSC 370A      : (Same as POLS 370A 1, SOC 370A 1, ENVS 370A 1) This course examines how communities of all sizes and types (e. This course is a requirement for participation in Emory's Community Building and Social Change Fellows Program, though students do not need to commit to participating in the CBSC program to enroll. For more information on the CBSC program see https://www. com/ or contact the CBSC program director, Kate Grace, at kdgrace@emory. Permission of the department required
CHEM 202Z      : (CHEM 150 and CHEM 150L) or AP score of 4 or higher or IB score of 5 or higher required. This course is reserved for freshmen entering with AP, IB, or Chem 150 transfer credit
CHEM 202ZL     : CHEM 202Z as co-requisite. Students must enroll in CHEM 202Z first. This course is only for freshmen entering with AP, IB, or other Chem 150 transfer credit and who are taking CHEM 202Z
CHEM 203L      : CHEM 202L or CHEM_OX 202L or CHEM 202ZL as prerequisite and CHEM 203 or CHEM_OX 203 as co-requisite, or equivalent transfer credit
CHEM 328       : (CHEM 150 or CHEM_OX 150) and (PHYS 141 or PHYS_OX 141 or PHYS 151 or PHYS_OX 151) and (PHYS 142 or PHYS_OX 142 or PHYS 152 or PHYS_OX 152) or equivalent transfer credit as prerequisites. (Same as ENVS 328 1)
CHEM 333       : (CHEM 204 or CHEM_OX 204) and (CHEM 204L or CHEM_OX 204L) and (CHEM 205 or CHEM_OX 205) and (CHEM 205L or CHEM_OX 205L) or equivalent transfer credit
CHEM 335LW     : (CHEM 205 or CHEM_OX 205) and (CHEM 205L or CHEM_OX 205L) or equivalent transfer credit
CHEM 371LW     : CHEM 300L or equivalent transfer credit as prerequisite. Special Topic: Chemistry of Color (LW)
CHEM_OX 150    : CHEM_OX 150L co-requisite. Students must enroll in CHEM_OX 150 and CHEM_OX 150L together. Must enroll in CHEM_OX 150L. Completion of OCCP by Jan
CHEM_OX 150L   : Must enroll in CHEM_OX 150 lecture
CHEM_OX 151    : Pre-Requisite: AP Chemistry score of 4 or 5, or IB Chemistry score of 5, 6, or 7 Co-requisite: CHEM_OX 202 (or 202Q) This course is open first to students who are also enrolled in CHEM_OX 202 for fall 2025. It is not intended for students who have previously completed CHEM_OX 202. If spots remain open, those planning to take CHEM_OX 202 the following semester may enroll
CHEM_OX 202    : CHEM_OX 150 and CHEM_OX 150L prerequisites & CHEM_OX 202L co-requisite. Students must enroll in CHEM_OX 202 and CHEM_OX 202L together. Must enroll in CHEM_OX 202L
CHEM_OX 202L   : CHEM_OX 150 & CHEM_OX 150L prerequisites or equivalent transfer credit. Students must enroll in CHEM_OX 202 and CHEM_OX 202L together. Must enroll in CHEM_OX 202 lecture
CHEM_OX 203    : CHEM_OX 202 and CHEM_OX 202L prerequisites & CHEM_OX 203L co-requisite. Students must enroll in CHEM_OX 203 and CHEM_OX 203L together. Must enroll in CHEM_OX 203L
CHEM_OX 203L   : CHEM_OX 202 & CHEM_OX 202L prerequisites, or equivalent transfer credit. Students must enroll in CHEM_OX 203 and CHEM_OX 203L together. Must enroll in CHEM_OX 203 lecture
CHEM_OX 204    : CHEM_OX 203 & CHEM_OX 203L prerequisites & CHEM 204L co-requisite. Students must enroll in CHEM_OX 204 and CHEM_OX 204L together. Must enroll in CHEM_OX 204L
CHEM_OX 204L   : CHEM_OX 203 and CHEM_OX 203L as prerequisites or equivalent transfer credit. Students must enroll in CHEM_OX 204 and CHEM_OX 204L together. Must enroll in CHEM_OX 204L
CHEM_OX 205    : ((CHEM_OX 203 & CHEM_OX 203L) or (CHEM 203 & CHEM 203L)) and (MATH_OX 111 or MATH 111) prereq. & CHEM_OX 205L co-req. Enroll in CHEM_OX 205 & CHEM_OX 205L together. Must enroll in CHEM_OX 205L
CHEM_OX 205L   : ((CHEM_OX 203 & CHEM_OX 203L) or (CHEM 203 & CHEM 203L)) and (MATH_OX 111 or MATH 111) prerequisites. Students must enroll in CHEM_OX 205 and CHEM_OX 205L together. Must enroll in CHEM_OX 205 lecture
CHEM_OX 261    : CHEM_OX 202 or CHEM 202 or equivalent transfer credit as prerequisite or co-requisite
CHN 303W       : edu for permission to enroll. Permission of the department required
CHN_OX 203     : CHN 103 as prerequisite, or placement recommendation, or equivalent transfer credit
HIST 343       : This class is not only for history majors or athletes, but also for business students, & anyone interested in environmental history, sports history, economic history, or the histories of gender & race
HIST 387RW     : (Same ENGCW 385RW 1, AAS 387RW 1, AMST 387RW 1) (Permission Required Prior to Enrollment) Application required. Permission of the department required
HIST 448W      : Any JS or MESAS course or equivalent transfer credit as prerequisite. (Same as JS 448W 1, MESAS 448W 1, and POLS 448W 1) (Ever since the emergence of the Zionist movement in the late nineteenth century, the political future of the land known as both Israel and Palestine has been the subject of fierce international debate. Students will be given an overview of Israeli foreign policy and Palestinian attempts at global outreach since 1948 before the course moves on to explore the politics of the Israeli-Palestinian conflict in various regions of the world. While there is no fixed prerequisite for the course, students should either have some background in the politics and history of Israel or the Middle East or have previous studied another country or region that they plan to examine in their research) (This is not an introductory course on the conflict. Those interested in an introductory course should enroll in the larger "Israeli-Palestinian Conflict" course to be taught in Spring 2026)
HIST_OX 101WE  : 
HLTH 220       : BIOL 141 or BIOL_OX 141 or CHEM 141 or CHEM_OX 141 or CHEM 150 or CHEM_OX 150 or equivalent transfer credit
HLTH 300R      : HLTH 200 or equivalent transfer credit as prerequisite. Permission required prior to enrollment. Peer Health Partners will enroll in one section of HLTH 300R and will facilitate one section of HLTH 100 during fall semester. (Prerequisite: HLTH 200) Permission of the department required
HLTH 317       : BIOL 142 or BIOL_OX 142 or equivalent transfer credit as prerequisite. (Prerequisite: BIOL 142)
HLTH 320       : HLTH 220 or equivalent transfer credit as a prerequisite This course will explore current evidence relating diet, nutrition, and the food environment to promoting health and preventing disease. (Prerequisite: HLTH 220)
HLTH 352       : HLTH 250 or HLTH_OX 250 or ANT 205 or ANTH_OX 205 or SOC 250 or equivalent transfer credit as prerequisite. (Prerequisite: HLTH 250)
HLTH 353       : HLTH 250 or HLTH_OX 250 or ANT 205 or ANTH_OX 205 or SOC 250 or equivalent transfer credit as prerequisite. (HLTH 250 is a Prerequisite for this course)
HLTH 374       : We will learn about small molecule synthesis, repurposing of existing agents, preclinical validation, and the pathway to human studies and eventual FDA approval
HLTH 381W      : Assignments include writing short and long pieces in a range of genres; completed work may be published in the CSHH online journal, Exploring Health. (Application and permission of instructor; no prerequisites. ) Permission of the department required
HLTH 408       : HLTH 207 or equivalent transfer credits as prerequisites. (Prerequisites: HLTH 207)
HLTH 411       : ANT 231 or HLTH 210 and BIOL 141 and BIOL 142 or equivalent transfer credit as prerequisite. (Prerequisites: HLTH 210 and BIOL 142)
HLTH 469       : (Same as SPAN 409 1, LACS 409 1, LING 409 1) This course examines how particular narratives about the body, health, and wellbeing are constructed and circulated in Latin America. Prerequisites: At least one foundational course (SPAN 300- 318) or permission from instructor
IDS 489        : This course fulfills the ILA's graduate-level-or-equivalent course requirement for all ILA Honors candidates and is required of them unless they enroll in a graduate-level course in fall semester of senior year. Other interested students may be admitted with permission; please contact instructors. Michel Foucault, Louis Althusser, Paulo Freire, bell hooks, Sara Ruddick (OTHERS?). We will use the theoretical and historical understanding of academia gleaned from these authors to engage several distinguished ILA alumni visitors to our class, whose professional work lends critical perspective on our topic, particularly perspective on our own institution--Emory--from which students will soon be graduating
IDS_OX 216E    : ENG_OX 185 or ENG_OX 186 or equivalent transfer credit as prerequisite. Instructor permission required to enroll Global Learning course: additional fee required; financial aid available. Students offered enrollment will receive a permission number and additional instructions. Permission of the department required
ENG 262W       : In the white imagination, Black desire is occupied by two opposing stereotypes: for white liberals, Blacks simply and only desire freedom from racist oppression; for white supremacists, Blacks do not think beyond their desire for simple physical pleasures. To what degree does our social identity as African American restrict, mediate or perhaps heighten our desires? When our safety, livelihoods, and dignity are always under assault, how do our desires protect us or expose us further? Course work will include 10 written reader reactions, one midterm paper of 1250 words and one final paper of 2500 words. (SAME AAS 262W-1)
ENG 332W       : Permission of the department required
ENG 356W       : In this course, we will read and study a range of Indigenous-authored youth literature, from picture books to YA novels. We will take a required field trip to the Indigenous Celebration at the Ocmulgee Mounds National Historic Park in Macon, GA. Finally, through the course projects we develop, we will not only deepen our own knowledge of Indigenous youth literature, but we will also share that knowledge beyond our class, contributing to more accurate, respectful, and enjoyable learning about Indigenous nations in our local communitie
ENG 384RW      : Learning about each of the theoretical frameworks will allow you to not only learn about the ways scholars have tried to interpret texts, but also to critically read literature using the methods they have developed
ENG 489W       : The Archive or "house of record" is a space and place in which knowledge is recovered, preserved, valued, and produced
ENGCW 372RW    : (Same as THEA 372RW 1) (Permission Required Prior to Enrollment) Application required. The instructor will be incoming Playwriting Fellow, PHANESIA PHAREL: https://creativewriting. Permission of the department required
ENGCW 385RW    : (Same as AAS 387RW 1, AMST 387RW 1, HIST 387RW 1) (Permission Required Prior to Enrollment) Application required. In the years between 1945 and 1968, untold numbers of American citizens were targeted for death because of their race, beliefs, or civil rights work - and in some cases merely because of what they drove, how they spoke, or the ever-shifting lines of racial etiquette they crossed. Using primary evidence including FBI records, NAACP files, old newspaper clippings, court transcripts, and personal archives students come to see and understand history from the inside out. Permission of the department required
ENGRD 123R     : (Freshmen Only) (Permission Required Prior to Enrollment) Students who speak English as an additional language will research, analyze, and practice English grammar to develop their knowledge of form, meaning, and usage in a communicative context. This is an English Language Learner (ELL) course. edu) for permission to enroll. Permission of the department required
ENGRD 202      : (Permission Required Prior to Enrollment) This practicum course is designed as a companion to first semester experience as a Writing Center tutor. edu for a permission number. Permission of the department required
ENGRD 349W     : 
ENG_OX 185     : 
ENG_OX 186     : Directed self-placement (DSP) recommendation for ENG_OX 186 required prior to enrollment. The DSP can be located in the Emory Essentials Canvas Course. Students who enroll during first-year registration or Add/Drop/Swap without a DSP placement recommendation for English 186 may have this course removed from their schedule
ENVS 227       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or POLS 111 or POLS_OX 111 or equivalent transfer credit as prerequisite. (Same as POLS 227 1)
ENVS 247LW     : BIOL 142, BIOL 142L or BIOL_OX142 AND BIOL/ENVS 247 or equivalent transfer credit as a prerequisite. (Same as BIOL 247LW 1) (This is the optional laboratory portion of the Ecology class. Pre- or corequisite: Biology 247/ENVS 247
ENVS 255W      : ENVS 131 or ENVS_OX 131 or equivalent transfer credit
ENVS 260       : QTM 100 or QTM_OX 100 or equivalent transfer credit
ENVS 320       : (ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140) and (ENVS 232 or ENVS 240 or ENVS 247/BIOL 247) or equivalent transfer credit as prerequisites. For spring 2025, ENVS 320 will count towards the SSP Intermediate Breadth for ENVS major
ENVS 328       : (CHEM 150 or CHEM_OX 150) and (PHYS 141 or PHYS_OX 141 or PHYS 151 or PHYS_OX 151) and (PHYS 142 or PHYS_OX 142 or PHYS 152 or PHYS_OX 152) or equivalent transfer credit as prerequisites. (Same as CHEM 328 1)
ENVS 342       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or equivalent transfer credit as prerequisite. There is a required weekend field trip to one of the GA barrier island
ENVS 345       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisite. (Same as BIOL 345 1)
ENVS 370A      : (Same as POLS 370A 1, SOC 370A 1, CBSC 370A 1) This course examines how communities of all sizes and types (e. This course is a requirement for participation in Emory's Community Building and Social Change Fellows Program, though students do not need to commit to participating in the CBSC program to enroll. For more information on the CBSC program see https://www. com/ or contact the CBSC program director, Kate Grace, at kdgrace@emory. Permission of the department required
ENVS 373W      : ENVS 232 or ENVS_OX 232 or ENVS 236 or ENVS 240 or ENVS 247 or BIOL 247 or equivalent transfer credit
ENVS 420       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisite. This course is best suited for SR's and JR's in ENVS; permission of instructor is required if you are a sophomore in ENVS
ENVS 426       : ENVS 326 or equivalent transfer credit as prerequisite. Permission of the department required
CPLT 489W      : (Same as PHIL 404W 1) German Romanticism This course provides an overview of some of the key figures and core concerns of the movement known as German Romanticism. Minneapolis: University of Minnesota Press, 1991. England: Bloodaxe Books, 1994. Albany, NY: State University of New York Press, 2016. Albany, NY: State University of New York Press, 1995. Albany, NY: State University of New York Press, 2005
CPLT 497R      : This course is permission-only. Permission of the department required
CS 371W        : CS 325 or CS 334 or equivalent transfer credit
CS 444         : CS 334 or equivalent transfer credit
CS_OX 170      : Must enroll in Friday 10-10:50 AM lab section
CS_OX 171      : CS 170 or CS_OX 170 or equivalent transfer credit
CS_OX 224      : CS 170 or CS_OX 170 as prerequisite and MATH 111 or MATH_OX 111 or MATH 112 or MATH_OX 112 as co-requisite or equivalent transfer credit
DANC 250       : DANCE 150R or PE_OX 151 or equivalent transfer credit as a prerequisite. (Permission Required Prior to Enrollment) Open only to declared dance majors and minors. edu, for a permission number. Permission of the department required
DANC 322R      : DANC 222R or equivalent transfer credit
DANC 429W      : (Same as THEA 429W 1) (Permission Required Prior to Enrollment) This course is open to declared dance and theater majors and minors in their junior or senior year. edu for a permission number. Permission of the department required
DANC_OX 300RE  : (Permission of Instructor Required Prior to Enrollment) Permission of the department required
